observation_date,production (base year 2017 =100)
3/1/1973,60.6097
4/1/1973,61.2107
5/1/1973,62.4189
6/1/1973,65.1934
7/1/1973,62.7436
8/1/1973,63.7291
9/1/1973,70.1886
10/1/1973,89.6334
11/1/1973,95.143
12/1/1973,91.6248
1/1/1974,77.23
2/1/1974,72.7931
3/1/1974,67.2352
4/1/1974,58.6064
5/1/1974,64.9621
6/1/1974,69.2915
7/1/1974,57.5179
8/1/1974,61.9977
9/1/1974,61.1319
10/1/1974,86.4595
11/1/1974,88.1385
12/1/1974,75.7634
1/1/1975,58.4481
2/1/1975,45.9752
3/1/1975,44.2089
4/1/1975,52.1356
5/1/1975,53.0585
6/1/1975,55.2547
7/1/1975,54.3151
8/1/1975,58.287
9/1/1975,57.7428
10/1/1975,83.8241
11/1/1975,91.8427
12/1/1975,88.7841
1/1/1976,76.3709
2/1/1976,65.2482
3/1/1976,53.8063
4/1/1976,55.9583
5/1/1976,61.2559
6/1/1976,59.265
7/1/1976,60.2855
8/1/1976,62.3481
9/1/1976,67.059
10/1/1976,94.1793
11/1/1976,97.5425
12/1/1976,99.6218
1/1/1977,85.1323
2/1/1977,78.6938
3/1/1977,67.5275
4/1/1977,66.38
5/1/1977,67.957
6/1/1977,68.2077
7/1/1977,66.0152
8/1/1977,67.9715
9/1/1977,73.2254
10/1/1977,94.8798
11/1/1977,92.2255
12/1/1977,98.199
1/1/1978,78.2847
2/1/1978,69.9303
3/1/1978,66.4863
4/1/1978,67.3613
5/1/1978,66.7801
6/1/1978,68.0946
7/1/1978,63.1467
8/1/1978,66.1613
9/1/1978,72.12
10/1/1978,91.5654
11/1/1978,97.3533
12/1/1978,99.4282
1/1/1979,85.9585
2/1/1979,73.8648
3/1/1979,70.6219
4/1/1979,67.2077
5/1/1979,68.2578
6/1/1979,70.6167
7/1/1979,65.1248
8/1/1979,67.1413
9/1/1979,70.3602
10/1/1979,88.0263
11/1/1979,92.9264
12/1/1979,91.9604
1/1/1980,75.677
2/1/1980,73.5049
3/1/1980,64.8382
4/1/1980,57.0723
5/1/1980,64.7393
6/1/1980,67.0362
7/1/1980,61.8606
8/1/1980,67.2932
9/1/1980,67.9049
10/1/1980,87.8421
11/1/1980,92.9684
12/1/1980,93.2555
1/1/1981,83.9206
2/1/1981,78.8002
3/1/1981,67.9846
4/1/1981,67.9081
5/1/1981,72.5286
6/1/1981,72.2513
7/1/1981,68.9855
8/1/1981,71.174
9/1/1981,72.5345
10/1/1981,103.2366
11/1/1981,101.938
12/1/1981,98.7426
1/1/1982,83.7032
2/1/1982,81.0889
3/1/1982,72.4235
4/1/1982,64.1086
5/1/1982,66.5909
6/1/1982,68.4003
